"LiveAgent - Free live chat and helpdesk plugin for Magento","LiveAgent - Free live chat and helpdesk plugin for Magento"
"Save","Save"
"Button code","Button code"
"Place here the code from your LiveAgent admin panel","Place here the code from your LiveAgent admin panel"
"Your account","Your account"
"Account url","Account url"
"login","login"
"change","change"
"Integration","Integration"
"contact us","contact us"
"Do you need any help with this plugin? Feel free to","Do you need any help with this plugin? Feel free to"
"Create your Free account","Create your Free account"
"Full name","Full name"
"Email","Email"
"Your first name and last name","Your first name and last name"
"Domain selection","Domain selection"
".ladesk.com",".ladesk.com"
"By creating an account I agree to","By creating an account I agree to"
"Terms & Conditions","Terms & Conditions"
"Skip this step, I already have an account","Skip this step, I already have an account"
"New account","New account"
"We want you to enjoy the full functionality of LiveAgent with the free account. It does not limit the number of agents and you have the option to activate the most of available features.","We want you to enjoy the full functionality of LiveAgent with the free account. It does not limit the number of agents and you have the option to activate the most of available features."
"Save Account Settings","Save Account Settings"
"Account Settings","Account Settings"
"Are you sure you want to cancel your account?","Are you sure you want to cancel your account?"
"Url","Url"
"Url where your LiveAgent installation is located","Url where your LiveAgent installation is located"
"Username which you use to login to your Live Agnet","Username which you use to login to your Live Agnet"
"Your password","Your password"
"Username","Username"
"Password","Password"
"Cancel account","Cancel account"
"this will clear all your existing account settings and offer you to create a new free account","this will clear all your existing account settings and offer you to create a new free account"
"Account Installation","Account Installation"
"Thank you! Your account will be online within next few minutes. Please wait...","Thank you! Your account will be online within next few minutes. Please wait..."
"You should recieve confirmation email with your account credentials shortly.","You should recieve confirmation email with your account credentials shortly."
"Note: Sometimes account creation process may take a","Note: Sometimes account creation process may take a"
"bit longer","bit longer"
"Installing","Installing"
"Initializing...","Initializing..."
"Enabled","Enabled"
"Disabled","Disabled"
"Network connections are disabled","Network connections are disabled"
"Proxy failed: %s","Proxy failed: %s"
"There were errors, please check highlighted fields","There were errors, please check highlighted fields"
"Unable to connect to Live Agent. please check your connection settings","Unable to connect to Live Agent. please check your connection settings"
"Account","Account"
"Settings","Settings"
"Unable to connect to LiveAgent at","Unable to connect to LiveAgent at"
"Unable to login to LiveAgent with given credentails. Please check your username and password.","Unable to login to LiveAgent with given credentails. Please check your username and password."
"Account settings were saved successfully","Account settings were saved successfully"
"Button code was saved successfully","Button code was saved successfully"
"Undo this change","Undo this change"
"Please enter valid email address","Please enter valid email address"
"Username can not be empty.","Username can not be empty."
"Password can not be empty.","Password can not be empty."
"Url can not be empty.","Url can not be empty."
"Username must be valid email.","Username must be valid email."
"The chat button is currently disabled.","The chat button is currently disabled."
"Unable to connect LiveAgent at","Unable to connect LiveAgent at"
"Account settings","Account settings"
"LiveAgent","LiveAgent"
